,inv_temp,temperature,site,disp_name,log_kobs
0,0.002831657935721365,80,7,4U_wt,-7.180474143830339
1,0.002831657935721365,80,15,4U_wt,-7.130139020670186
2,0.002831657935721365,80,16,4U_wt,-7.300286350266619
3,0.002831657935721365,80,18,4U_wt,-7.305412887484269
4,0.002831657935721365,80,22,4U_wt,-7.0355875631572005
5,0.002831657935721365,80,26,4U_wt,-7.053857361574884
6,0.002831657935721365,80,29,4U_wt,-7.054346857172298
7,0.002831657935721365,80,34,4U_wt,-7.1070823883814604
8,0.002831657935721365,80,35,4U_wt,-7.305926391860203
9,0.002872325147206664,75,7,4U_wt,-7.669835204238849
10,0.002872325147206664,75,15,4U_wt,-7.600975865912063
11,0.002872325147206664,75,16,4U_wt,-7.800752291290645
12,0.002872325147206664,75,18,4U_wt,-7.812330382926475
13,0.002872325147206664,75,22,4U_wt,-7.578257678296349
14,0.002872325147206664,75,26,4U_wt,-7.587720054496496
15,0.002872325147206664,75,29,4U_wt,-7.597048475434665
16,0.002872325147206664,75,34,4U_wt,-7.673074678576488
17,0.002872325147206664,75,35,4U_wt,-7.839882952109342
18,0.002914177473408131,70,7,4U_wt,-7.675795693293438
19,0.002914177473408131,70,15,4U_wt,-7.584612250605846
20,0.002914177473408131,70,16,4U_wt,-7.821808999586941
21,0.002914177473408131,70,18,4U_wt,-7.8019577221004095
22,0.002914177473408131,70,22,4U_wt,-7.546479742273051
23,0.002914177473408131,70,26,4U_wt,-7.56909714385694
24,0.002914177473408131,70,29,4U_wt,-7.531221119418663
25,0.002914177473408131,70,34,4U_wt,-7.580920944309991
26,0.002914177473408131,70,35,4U_wt,-7.807198525199764
27,0.0029572674848440043,65,7,4U_wt,-7.91389217808076
28,0.0029572674848440043,65,15,4U_wt,-7.869350755990804
29,0.0029572674848440043,65,16,4U_wt,-8.078684863652358
30,0.0029572674848440043,65,18,4U_wt,-8.079153847370762
31,0.0029572674848440043,65,22,4U_wt,-7.842542387688276
32,0.0029572674848440043,65,26,4U_wt,-7.83917765125188
33,0.0029572674848440043,65,29,4U_wt,-7.828762266012386
34,0.0029572674848440043,65,34,4U_wt,-7.881783461451761
35,0.0029572674848440043,65,35,4U_wt,-8.090321904800287
36,0.0031431714600031434,45,7,4U_wt,-9.106037335976804
37,0.0031431714600031434,45,15,4U_wt,-9.11625773062514
38,0.0031431714600031434,45,16,4U_wt,-9.2796545823673
39,0.0031431714600031434,45,18,4U_wt,-9.126816268420598
40,0.0031431714600031434,45,22,4U_wt,-9.11260515089553
41,0.0031431714600031434,45,26,4U_wt,-9.142209242085514
42,0.0031431714600031434,45,29,4U_wt,-9.194998371453693
43,0.0031431714600031434,45,34,4U_wt,-9.197995285061655
44,0.0031431714600031434,45,35,4U_wt,-9.357030289397176
45,0.003224246332419797,37,7,4U_wt,-9.986107336524274
46,0.003224246332419797,37,15,4U_wt,-10.381464324234834
47,0.003224246332419797,37,16,4U_wt,-10.55037124433125
48,0.003224246332419797,37,18,4U_wt,-9.77928207271248
49,0.003224246332419797,37,22,4U_wt,-10.291154425899595
50,0.003224246332419797,37,26,4U_wt,-10.372509637250433
51,0.003224246332419797,37,29,4U_wt,-10.313595375481917
52,0.003224246332419797,37,34,4U_wt,-10.357023510720214
53,0.003224246332419797,37,35,4U_wt,-10.361355604123554
54,0.0033540164346805303,25,7,4U_wt,-11.982436549504786
55,0.0033540164346805303,25,15,4U_wt,-13.1651294691244
56,0.0033540164346805303,25,16,4U_wt,-13.34221945803589
57,0.0033540164346805303,25,18,4U_wt,-10.859774836548624
58,0.0033540164346805303,25,22,4U_wt,-12.54702452440826
59,0.0033540164346805303,25,26,4U_wt,-13.469910417121268
60,0.0033540164346805303,25,29,4U_wt,-13.721515730432417
61,0.0033540164346805303,25,34,4U_wt,-12.535356093358116
62,0.0033540164346805303,25,35,4U_wt,-12.470514832000951
63,0.003411222923418046,20,7,4U_wt,-12.628221348575774
64,0.003411222923418046,20,15,4U_wt,-13.680611980418863
65,0.003411222923418046,20,16,4U_wt,-14.024600540005341
66,0.003411222923418046,20,18,4U_wt,-11.442947759789963
67,0.003411222923418046,20,22,4U_wt,-13.19774777683698
68,0.003411222923418046,20,26,4U_wt,-14.290785892516876
69,0.003411222923418046,20,29,4U_wt,-14.207570858943512
70,0.003411222923418046,20,34,4U_wt,-13.874459275248721
71,0.003411222923418046,20,35,4U_wt,-13.570482895792072
72,0.00347041471455839,15,7,4U_wt,-12.922035455257426
73,0.00347041471455839,15,15,4U_wt,-13.942525393618705
74,0.00347041471455839,15,16,4U_wt,-14.369221509805323
75,0.00347041471455839,15,18,4U_wt,-11.85854940104919
76,0.00347041471455839,15,22,4U_wt,-13.482198094133755
77,0.00347041471455839,15,26,4U_wt,-14.698611529988312
78,0.00347041471455839,15,29,4U_wt,-14.786133026735545
79,0.00347041471455839,15,34,4U_wt,-13.89530777697962
80,0.00347041471455839,15,35,4U_wt,-14.076880110865886
81,0.003531696980399082,10,7,4U_wt,-13.928490592320438
82,0.003531696980399082,10,15,4U_wt,-14.969672207920667
83,0.003531696980399082,10,16,4U_wt,-15.399876956202839
84,0.003531696980399082,10,18,4U_wt,-12.733167446115282
85,0.003531696980399082,10,22,4U_wt,-14.308056719000444
86,0.003531696980399082,10,26,4U_wt,-15.81357420009512
87,0.003531696980399082,10,29,4U_wt,-15.97046237269343
88,0.003531696980399082,10,34,4U_wt,-15.196289291870986
89,0.003531696980399082,10,35,4U_wt,-15.257819659576995
