,inv_temp,temperature,site,disp_name,log_kobs
0,0.002831657935721365,80,9,4U_wt,-6.976097882405389
1,0.002831657935721365,80,25,4U_wt,-6.836833541012279
2,0.002872325147206664,75,9,4U_wt,-7.546209991291091
3,0.002872325147206664,75,25,4U_wt,-7.3657095667574985
4,0.002914177473408131,70,9,4U_wt,-7.500566999198535
5,0.002914177473408131,70,25,4U_wt,-7.316747586226468
6,0.0029572674848440043,65,9,4U_wt,-7.718177049290485
7,0.0029572674848440043,65,25,4U_wt,-7.586969590642457
8,0.0031431714600031434,45,9,4U_wt,-8.93676661173635
9,0.0031431714600031434,45,25,4U_wt,-9.032152376305568
10,0.003224246332419797,37,9,4U_wt,-9.961015723036688
11,0.003224246332419797,37,25,4U_wt,-10.418967771186429
12,0.0033540164346805303,25,9,4U_wt,-13.313915019331224
13,0.0033540164346805303,25,25,4U_wt,-15.34265499204691
14,0.003411222923418046,20,9,4U_wt,-13.042612537772916
15,0.003411222923418046,20,25,4U_wt,-16.20897099702588
16,0.00347041471455839,15,9,4U_wt,-13.612570002800918
17,0.00347041471455839,15,25,4U_wt,-17.525673535579593
18,0.003531696980399082,10,9,4U_wt,-14.734484426518204
19,0.003531696980399082,10,25,4U_wt,-19.375069591612686
