time,peak
647,2.00E+08
951,1.98E+08
1255,1.94E+08
1559,1.88E+08
1863,1.83E+08
2167,1.77E+08
2471,1.70E+08
2776,1.65E+08
3080,1.61E+08
3385,1.55E+08
3689,1.51E+08
3994,1.44E+08
4298,1.41E+08
4603,1.37E+08
4907,1.35E+08
5211,1.30E+08
5515,1.29E+08
5820,1.23E+08
6125,1.22E+08
6430,1.17E+08
6734,1.14E+08
7039,1.08E+08
7343,1.05E+08
7648,1.04E+08
7952,1.02E+08
8256,9.75E+07
8560,9.74E+07
8864,9.33E+07
9168,9.13E+07
9472,8.99E+07
9777,8.70E+07
10081,8.44E+07
10386,8.30E+07
10690,8.05E+07
10993,7.86E+07
11297,7.67E+07
11602,7.47E+07
11907,7.62E+07
12211,7.20E+07
12516,7.21E+07
12821,7.14E+07
13125,6.84E+07
13428,6.83E+07
13733,6.63E+07
14037,6.57E+07
14341,6.38E+07
14645,6.39E+07
14949,6.22E+07
15253,6.21E+07
15557,5.99E+07
15862,5.89E+07
16166,5.82E+07
16470,5.80E+07
16774,5.69E+07
17078,5.47E+07
17382,5.48E+07
17686,5.37E+07
17990,5.25E+07
18295,5.28E+07
18599,5.22E+07
18903,5.13E+07
19207,5.03E+07
19511,4.97E+07
19815,4.93E+07
20119,4.69E+07
20423,4.59E+07
20728,4.63E+07
21032,4.85E+07
21335,4.60E+07
21640,4.59E+07
21944,4.47E+07
22248,4.64E+07
22553,4.55E+07
22857,4.48E+07
23161,4.45E+07
23465,4.25E+07
23769,4.41E+07
24073,4.31E+07
24377,4.27E+07
24681,4.20E+07
24986,4.26E+07
25290,4.12E+07
25595,4.19E+07
25899,4.11E+07
26204,4.11E+07
26508,4.06E+07
26812,4.15E+07
27116,3.93E+07
27421,4.06E+07
27725,3.97E+07
28030,3.84E+07
28335,3.79E+07
28639,3.89E+07
28943,3.95E+07
29247,3.83E+07
29551,3.84E+07
29855,3.84E+07
30160,3.74E+07
30464,3.80E+07
30769,3.67E+07
31073,3.59E+07
31378,3.68E+07
31682,3.61E+07
31986,3.74E+07
32290,3.79E+07
32595,3.67E+07
32899,3.66E+07
33204,3.67E+07
33508,3.70E+07
33814,3.61E+07
34118,3.48E+07
34423,3.57E+07
34727,2.26E+07
35031,3.52E+07
35335,3.52E+07
35640,3.49E+07
35944,3.49E+07
36248,3.52E+07
36552,2.29E+07
36856,2.52E+07
