construct,lnkadd_20C,lnkadd_20C_err,slope,intercept,slope_err,intercept_err,group
4U_,-11.884529057925398,1.346197213042739,8.733951438193486,17.90892630006023,2.4549930361933003,7.250739866236226,A
4U_,-10.917403236098398,1.069045675445299,7.243139874808106,13.79056154237033,1.9643214695115605,5.807700045266286,C
hiv_,-11.217515888383195,0.0264942068108119,6.590573484517664,11.264399460474609,0.0267489907345455,0.0768554878453825,A
hiv_,-13.20848108300368,1.0542036692730514,11.404845573457752,25.69598957521824,1.0543482309504948,3.02350333061341,C
nmr_,-7.1258791640733605,0.1980985141648562,7.856410474059312,19.6740883408194,0.8153009333908997,2.6263324316164276,A
nmr_,-7.602186670956101,0.4174772070629807,10.844725507937197,29.39158957989568,1.6496796660150417,5.2749082773957126,C
4U_wt,-9.66225487288497,0.2934533180169915,3.9573369651286576,3.837103698251506,0.5399005856582745,1.597997615896857,A
4U_wt,-8.989912975975022,0.2259715830823123,3.062131624645107,1.4557006165377098,0.4488830677903926,1.3427741760708258,C
4U_a8c,-10.391153906976054,1.829059893733608,6.368822054749989,11.334317881357531,2.607575691805756,7.51424478625485,A
4U_a8c,-9.928202021668708,1.9473893854582631,5.863243955201486,10.07263016390689,2.789815037475324,8.046616555202773,C
hiv_a35g,-11.235663742888274,0.3050077980634805,6.457544444971589,10.79245989678967,0.3070281454997929,0.8817276636127883,A
hiv_a35g,-14.203152975752957,0.3467455462235952,13.120049554562184,30.55226082115029,0.3451965352315675,0.9890840135617358,C
hiv_wt,-12.490222821748198,0.6598886935407057,9.058048763061109,18.408800760244336,0.685545969623942,1.980076123991262,A
hiv_wt,-13.79198175921314,0.4165755872402256,12.699748190974278,29.529690391475174,0.4322693713575278,1.2481406070054817,C
hiv_gs,-11.218751326302696,1.5448984523567963,6.551458984491626,11.12973574342825,1.5581691646747755,4.475595134810302,A
hiv_gs,-13.48288962389858,0.6959433662446429,11.888778964039664,27.072385709683765,0.7031892507205324,2.020125750515346,C
hiv_es2,-10.17714031977659,1.3721240880116463,4.785291476605921,6.146555660458518,1.3939464506369166,4.010259399331105,A
hiv_es2,-10.549285981413606,1.7881596868353429,6.622524558957925,12.041621605002648,1.7836992177128632,5.114156707738752,C
