Sample 1
4/14/2024 5:07 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.34000	
//WLCalib: 261S 	0.70000	
//WLCalib: 362S 	0.10000	
//WLCalib: 484S 	0.58000	
//WLCalib: 529S 	0.68000	
//WLCalib: 823S 	0.28000	
//QSpecEnd: 
190.0	2.160
190.5	2.114
191.0	2.044
191.5	2.034
192.0	1.967
192.5	1.964
193.0	1.981
193.5	1.931
194.0	1.941
194.5	1.947
195.0	1.955
195.5	1.931
196.0	1.940
196.5	1.926
197.0	1.911
197.5	1.880
198.0	1.872
198.5	1.849
199.0	1.846
199.5	1.866
200.0	1.887
200.5	1.836
201.0	1.846
201.5	1.863
202.0	1.871
202.5	1.824
203.0	1.835
203.5	1.856
204.0	1.918
204.5	1.913
205.0	1.921
205.5	1.944
206.0	1.961
206.5	2.008
207.0	2.011
207.5	1.962
208.0	1.965
208.5	1.929
209.0	1.892
209.5	1.812
210.0	1.799
210.5	1.792
211.0	1.759
211.5	1.762
212.0	1.701
212.5	1.661
213.0	1.601
213.5	1.514
214.0	1.443
214.5	1.351
215.0	1.287
215.5	1.241
216.0	1.166
216.5	1.091
217.0	1.004
217.5	0.932
218.0	0.828
218.5	0.753
219.0	0.674
219.5	0.604
220.0	0.555
220.5	0.501
221.0	0.456
221.5	0.414
222.0	0.383
222.5	0.360
223.0	0.345
223.5	0.336
224.0	0.310
224.5	0.298
225.0	0.286
225.5	0.261
226.0	0.252
226.5	0.240
227.0	0.235
227.5	0.240
228.0	0.249
228.5	0.256
229.0	0.260
229.5	0.264
230.0	0.272
230.5	0.273
231.0	0.278
231.5	0.283
232.0	0.289
232.5	0.302
233.0	0.316
233.5	0.333
234.0	0.349
234.5	0.369
235.0	0.385
235.5	0.394
236.0	0.404
236.5	0.415
237.0	0.436
237.5	0.460
238.0	0.487
238.5	0.519
239.0	0.551
239.5	0.580
240.0	0.604
240.5	0.625
241.0	0.646
241.5	0.674
242.0	0.695
242.5	0.714
243.0	0.737
243.5	0.757
244.0	0.775
244.5	0.800
245.0	0.829
245.5	0.866
246.0	0.903
246.5	0.941
247.0	0.974
247.5	0.996
248.0	1.020
248.5	1.039
249.0	1.062
249.5	1.096
250.0	1.133
250.5	1.171
251.0	1.205
251.5	1.242
252.0	1.271
252.5	1.286
253.0	1.304
253.5	1.330
254.0	1.353
254.5	1.380
255.0	1.405
255.5	1.418
256.0	1.433
256.5	1.446
257.0	1.458
257.5	1.465
258.0	1.470
258.5	1.474
259.0	1.470
259.5	1.471
260.0	1.468
260.5	1.458
261.0	1.460
261.5	1.454
262.0	1.449
262.5	1.437
263.0	1.414
263.5	1.399
264.0	1.380
264.5	1.365
265.0	1.347
265.5	1.324
266.0	1.300
266.5	1.262
267.0	1.225
267.5	1.190
268.0	1.153
268.5	1.125
269.0	1.089
269.5	1.052
270.0	1.000
270.5	0.947
271.0	0.896
271.5	0.840
272.0	0.792
272.5	0.751
273.0	0.710
273.5	0.676
274.0	0.644
274.5	0.601
275.0	0.555
275.5	0.519
276.0	0.489
276.5	0.451
277.0	0.418
277.5	0.384
278.0	0.357
278.5	0.327
279.0	0.297
279.5	0.260
280.0	0.231
280.5	0.211
281.0	0.194
281.5	0.174
282.0	0.161
282.5	0.152
283.0	0.138
283.5	0.113
284.0	0.089
284.5	0.068
285.0	0.054
285.5	0.043
