time,peak
647,1.29E+07
951,1.28E+07
1255,1.29E+07
1559,1.28E+07
1863,1.29E+07
2167,1.28E+07
2471,1.28E+07
2776,1.28E+07
3080,1.29E+07
3385,1.28E+07
3689,1.28E+07
3994,1.27E+07
4298,1.28E+07
4603,1.28E+07
4907,1.28E+07
5211,1.28E+07
5515,1.28E+07
5820,1.28E+07
6125,1.28E+07
6430,1.27E+07
6734,1.27E+07
7039,1.28E+07
7343,1.27E+07
7648,1.28E+07
7952,1.27E+07
8256,1.27E+07
8560,1.28E+07
8864,1.27E+07
9168,1.27E+07
9472,1.27E+07
9777,1.27E+07
10081,1.27E+07
10386,1.28E+07
10690,1.28E+07
10993,1.28E+07
11297,1.27E+07
11602,1.27E+07
11907,1.27E+07
12211,1.28E+07
12516,1.28E+07
12821,1.27E+07
13125,1.27E+07
13428,1.27E+07
13733,1.28E+07
14037,1.27E+07
14341,1.27E+07
14645,1.28E+07
14949,1.28E+07
15253,1.27E+07
15557,1.28E+07
15862,1.28E+07
16166,1.28E+07
16470,1.27E+07
16774,1.27E+07
17078,1.27E+07
17382,1.27E+07
17686,1.27E+07
17990,1.27E+07
18295,1.27E+07
18599,1.27E+07
18903,1.27E+07
19207,1.27E+07
19511,1.27E+07
19815,1.27E+07
20119,1.27E+07
20423,1.27E+07
20728,1.27E+07
21032,1.27E+07
21335,1.28E+07
21640,1.27E+07
21944,1.27E+07
22248,1.27E+07
22553,1.27E+07
22857,1.27E+07
23161,1.27E+07
23465,1.27E+07
23769,1.27E+07
24073,1.27E+07
24377,1.27E+07
24681,1.27E+07
24986,1.28E+07
25290,1.27E+07
25595,1.27E+07
25899,1.27E+07
26204,1.27E+07
26508,1.27E+07
26812,1.27E+07
27116,1.27E+07
27421,1.27E+07
27725,1.27E+07
28030,1.27E+07
28335,1.28E+07
28639,1.27E+07
28943,1.27E+07
29247,1.28E+07
29551,1.28E+07
29855,1.27E+07
30160,1.27E+07
30464,1.27E+07
30769,1.28E+07
31073,1.27E+07
31378,1.27E+07
31682,1.27E+07
31986,1.27E+07
32290,1.27E+07
32595,1.27E+07
32899,1.27E+07
33204,1.27E+07
33508,1.27E+07
33814,1.27E+07
34118,1.27E+07
34423,1.27E+07
34727,1.27E+07
35031,1.27E+07
35335,1.27E+07
35640,1.27E+07
35944,1.27E+07
36248,1.27E+07
36552,1.27E+07
36856,1.28E+07
