Accession	Title	BioProject	BioSample	Status	Release Date	Created	Updated	Submission	SRA.filename
SRR36996089	092-EKC-A8C-37c-b-6-m	PRJNA1400640	SAMN54913583	Suppressed	2027-02-01	2026-01-27T03:07:27Z	2026-01-27T18:57:04Z	SUB15968704	092-EKC-A8C-37c-b-6-m_S92_L001_R1_001.fastq.gz, 092-EKC-A8C-37c-b-6-m_S92_L001_R2_001.fastq.gz
SRR36996092	070-EKC-A8C-37c-b-4-p	PRJNA1400640	SAMN54913580	Suppressed	2027-02-01	2026-01-27T03:07:28Z	2026-01-27T18:57:04Z	SUB15968704	070-EKC-A8C-37c-b-4-p_S70_L001_R1_001.fastq.gz, 070-EKC-A8C-37c-b-4-p_S70_L001_R2_001.fastq.gz
SRR36996095	067-EKC-A8C-37c-b-1-p	PRJNA1400640	SAMN54913577	Suppressed	2027-02-01	2026-01-27T03:07:28Z	2026-01-27T18:57:04Z	SUB15968704	067-EKC-A8C-37c-b-1-p_S67_L001_R1_001.fastq.gz, 067-EKC-A8C-37c-b-1-p_S67_L001_R2_001.fastq.gz
SRR36996090	072-EKC-A8C-37c-b-6-p	PRJNA1400640	SAMN54913582	Suppressed	2027-02-01	2026-01-27T03:07:27Z	2026-01-27T18:57:04Z	SUB15968704	072-EKC-A8C-37c-b-6-p_S72_L001_R1_001.fastq.gz, 072-EKC-A8C-37c-b-6-p_S72_L001_R2_001.fastq.gz
SRR36996093	069-EKC-A8C-37c-b-3-p	PRJNA1400640	SAMN54913579	Suppressed	2027-02-01	2026-01-27T03:07:28Z	2026-01-27T18:57:04Z	SUB15968704	069-EKC-A8C-37c-b-3-p_S69_L001_R1_001.fastq.gz, 069-EKC-A8C-37c-b-3-p_S69_L001_R2_001.fastq.gz
SRR36996091	071-EKC-A8C-37c-b-5-p	PRJNA1400640	SAMN54913581	Suppressed	2027-02-01	2026-01-27T03:07:28Z	2026-01-27T18:57:04Z	SUB15968704	071-EKC-A8C-37c-b-5-p_S71_L001_R1_001.fastq.gz, 071-EKC-A8C-37c-b-5-p_S71_L001_R2_001.fastq.gz
SRR36996094	068-EKC-A8C-37c-b-2-p	PRJNA1400640	SAMN54913578	Suppressed	2027-02-01	2026-01-27T03:07:28Z	2026-01-27T18:57:04Z	SUB15968704	068-EKC-A8C-37c-b-2-p_S68_L001_R1_001.fastq.gz, 068-EKC-A8C-37c-b-2-p_S68_L001_R2_001.fastq.gz
SRR37003185	033_P4P6_WT_nobc_0mMMgMRTpH83_conc0_rep2	PRJNA1400640	SAMN54926463	ToBeReleased	2027-02-01	2026-01-27T18:00:28Z	2026-01-27T18:04:48Z	SUB15970389	033_P4P6_WT_nobc_0mMMgMRTpH83_conc0_rep2_S33_L001_R1_001.fastq.gz, 033_P4P6_WT_nobc_0mMMgMRTpH83_conc0_rep2_S33_L001_R2_001.fastq.gz
SRR37003187	029_P4P6_WT_nobc_0mMMgMRTpH83_conc0_rep1	PRJNA1400640	SAMN54926461	ToBeReleased	2027-02-01	2026-01-27T18:00:28Z	2026-01-27T18:04:48Z	SUB15970389	029_P4P6_WT_nobc_0mMMgMRTpH83_conc0_rep1_S29_L001_R1_001.fastq.gz, 029_P4P6_WT_nobc_0mMMgMRTpH83_conc0_rep1_S29_L001_R2_001.fastq.gz
SRR37003186	031_P4P6_WT_nobc_0mMMgMRTpH83_conc1p5_rep1	PRJNA1400640	SAMN54926462	ToBeReleased	2027-02-01	2026-01-27T18:00:28Z	2026-01-27T18:04:47Z	SUB15970389	031_P4P6_WT_nobc_0mMMgMRTpH83_conc1p5_rep1_S31_L001_R1_001.fastq.gz, 031_P4P6_WT_nobc_0mMMgMRTpH83_conc1p5_rep1_S31_L001_R2_001.fastq.gz
SRR37003184	035_P4P6_WT_nobc_0mMMgMRTpH83_conc1p5_rep2	PRJNA1400640	SAMN54926464	ToBeReleased	2027-02-01	2026-01-27T18:00:28Z	2026-01-27T18:04:47Z	SUB15970389	035_P4P6_WT_nobc_0mMMgMRTpH83_conc1p5_rep2_S35_L001_R1_001.fastq.gz, 035_P4P6_WT_nobc_0mMMgMRTpH83_conc1p5_rep2_S35_L001_R2_001.fastq.gz
