,species,temperature,replicate,k_value,k_error,r2,log_kdeg,log_kdeg_err,inv_temp,method
0,dms,25.0,1,0.00020027188636152348,1.8009786040133413e-07,0.9999711395538816,-8.515834682799458,0.0008992668101014841,0.0033540164346805303,nmr
1,dms,25.0,2,0.0001807202829810716,1.778045488835489e-06,0.9967313866485128,-8.618560119952102,0.009838660384466746,0.0033540164346805303,nmr
2,dms,30.0,1,0.00034485290958236975,1.5870442884904835e-06,0.9995668141084444,-7.972392580882116,0.004602090469274149,0.003298697014679202,nmr
3,dms,37.0,1,0.0008078276302849423,4.466435176011578e-06,0.9995348477496153,-7.121161851056285,0.005528945790621382,0.003224246332419797,nmr
4,dms,37.0,2,0.0007716979285839737,3.21031936895025e-06,0.9997339589822944,-7.166917368728793,0.004160072549165736,0.003224246332419797,nmr
5,dms,45.0,1,0.0016326851218186177,1.9888286282312543e-05,0.9983108580488238,-6.417529305497784,0.012181336141631124,0.0031431714600031434,nmr
6,dms,45.0,2,0.0017743037512799836,5.816617551778454e-06,0.9998748742484467,-6.3343471858060205,0.00327825353893455,0.0031431714600031434,nmr
7,dms,52.0,1,0.0036773288066405062,9.166446054735876e-06,0.9999615728116308,-5.605568658131585,0.002492691444448248,0.0030755036137167465,nmr
8,dms,52.0,2,0.003630011523291515,1.6171693262828076e-05,0.9998842997631022,-5.618519456249944,0.004454997775920112,0.0030755036137167465,nmr
9,dms,60.0,1,0.007947744132688315,8.615629627489986e-05,0.999511675468968,-4.834867147477053,0.01084034599460081,0.0030016509079994,nmr
10,dms,60.0,2,0.008113925820041022,4.6399427700716316e-05,0.999844529186157,-4.814173456457934,0.005718492962569595,0.0030016509079994,nmr
