,log_kdeg,temperature,disp_name,inv_temp
1,-7.248490207173938,33.0,4U_wt,0.003266372693124286
2,-7.624853185061134,33.0,4U_wt,0.003266372693124286
3,-6.71783186371017,37.0,4U_wt,0.003224246332419797
4,-8.146382721707893,25.0,4U_wt,0.0033540164346805303
5,-5.877889917314148,45.0,4U_wt,0.0031431714600031434
6,-4.5782734925165105,60.0,4U_wt,0.0030016509079994
7,-4.664418969682286,60.0,4U_wt,0.0030016509079994
8,-7.608486340983714,30.0,4U_wt,0.003298697014679202
9,-6.756575584236775,37.0,4U_wt,0.003224246332419797
10,-5.893881618334458,45.0,4U_wt,0.0031431714600031434
11,-5.2063903080294365,52.0,4U_wt,0.0030755036137167465
12,-5.336857310670057,52.0,4U_wt,0.0030755036137167465
13,-8.190899186283515,25.0,4U_wt,0.0033540164346805303
14,-7.418229990755995,30.0,4U_wt,0.003298697014679202
15,-4.283552178864662,65.0,4U_wt,0.0029572674848440043
16,-4.423406528489963,65.0,4U_wt,0.0029572674848440043
17,-3.957310080966062,70.0,4U_wt,0.002914177473408131
18,-4.649325647154215,75.0,4U_wt,0.002872325147206664
19,-3.6994387541041354,75.0,4U_wt,0.002872325147206664
20,-3.4120233230827512,80.0,4U_wt,0.002831657935721365
21,-3.548863764812739,80.0,4U_wt,0.002831657935721365
22,-10.258354762541508,10.0,4U_wt,0.003531696980399082
23,-9.568038044330152,15.0,4U_wt,0.00347041471455839
24,-9.555111926534078,15.0,4U_wt,0.00347041471455839
25,-7.535261025243701,30.0,4U_wt,0.003298697014679202
26,-7.694313084365483,30.0,4U_wt,0.003298697014679202
27,-9.547601523292949,18.0,4U_wt,0.0034346556757685045
28,-9.216432399952467,18.0,4U_wt,0.0034346556757685045
29,-8.837789899021375,20.0,4U_wt,0.003411222923418046
30,-8.9226560724934,20.0,4U_wt,0.003411222923418046
31,-8.519382306901381,25.0,4U_wt,0.0033540164346805303
32,-8.407162121069696,25.0,4U_wt,0.0033540164346805303
33,-6.705602206444488,37.0,4U_wt,0.003224246332419797
34,-6.761226870294388,37.0,4U_wt,0.003224246332419797
