index,intercept,slope,intercept_se,slope_se,base,lnkadd_20C,lnkadd_20C_err
hiv_a35g,10.802441465540745,-6460.960216005945,0.8921887315608189,310.61044860256624,A,-11.237334130590742,1.3851610982038514
hiv_c30u,9.459314227899068,-5915.49714368964,23.610920746042,8184.366424241945,A,-10.719765232069008,36.56404376698585
hiv_es2,6.231133996577584,-4816.643847466675,4.391447782964435,1527.5656063119195,A,-10.199511909841231,6.814539351724853
hiv_gs,11.15077758609087,-6562.709142059882,3.9362009533539197,1370.269266366924,A,-11.236086279028976,6.110867509145506
hiv_wt,17.972101397394834,-8907.115056896584,1.9392559826102873,673.0418949018471,A,-12.412053666212824,3.0053039671256667
aggregated,10.00632753750757,-6138.146713105931,4.447315443260557,1544.895551845561,A,-10.932259237542514,6.895747729200294
hiv_a35g,30.362076406241588,-13052.90848944381,0.8987975113216787,313.3885591818784,C,-14.16430425022715,1.3966673614590464
hiv_c30u,6.159160151181985,-4659.631603544925,35.89557467464322,12444.957409716244,C,-9.73588198951365,55.594146049179514
hiv_es2,11.945414570802686,-6594.659030885734,6.456603869316076,2249.4339135552136,C,-10.550437487480565,10.028338919836578
hiv_gs,26.97595513684112,-11857.632909098791,1.7475589121810227,608.2397625325503,C,-13.473074060152886,2.712734611672325
hiv_wt,30.093295046051463,-12894.028122608177,1.2765740116014495,442.81533350771446,C,-13.8911092609865,1.9777203509341148
aggregated,15.628748358567442,-7909.305690121411,7.036442712506569,2444.156086904891,C,-11.351656519895503,10.909924564898244
