time,peak
978,35034.6
1581,33687.5
2183,33022.7
2786,32464.8
3389,32289.5
3992,31828.7
4595,31524
5197,31152.4
5800,30489.7
6403,30513.9
7006,30321.5
7608,29557.8
8211,29991.9
8814,29672.7
9417,29532.6
10019,28977.3
10622,29201.9
11225,28741
11828,28961.5
12431,29041.1
13033,28966.8
13636,28593.3
14239,28656.5
14842,28546
15444,28299.2
16047,28735.9
16650,28640.6
17253,28778.3
17856,28449.1
18458,28837.6
19061,28540.4
19664,28654.5
20267,28764.9
20869,28432.6
21472,28508.1
22075,28745.5
22678,29161.8
23281,28332.1
23883,28599
24486,28763.8
25089,28547.6
25692,28545.9
26295,28419.8
26897,28435.2
27500,28292.4
28103,28437.2
28706,28330.1
29308,28815.5
29911,28918.7
30514,28802.6
31117,28938.3
31720,29108.1
32322,28748.2
32925,28624.5
33528,28572.3
34131,29070.8
34733,28713.8
35336,28607.6
35939,28895.1
36542,28697.7
