time,peak
483,0.967852213
635,0.956682193
787,0.953359468
939,0.947126624
1090,0.947699809
1242,0.942330658
1394,0.938808334
1546,0.939766823
1698,0.936815772
1850,0.935874095
2002,0.934642635
2153,0.931942808
2305,0.917457927
2457,0.925828682
2609,0.922600452
2761,0.921113893
2913,0.913658418
3065,0.927444452
3216,0.925021028
3368,0.927238227
3520,0.928104389
3672,0.925651644
3824,0.921153763
3976,0.923087287
4127,0.923930619
4279,0.919757909
4431,0.917247376
4583,0.920881522
4735,0.925498986
4887,0.917749572
5039,0.921123503
5190,0.912750981
5342,0.909499639
5494,0.911424008
5646,0.916661559
5798,0.922207438
