time,peak
1003,618507
1606,522873
2209,529680
2811,408843
3414,359618
4017,319766
4620,276416
5223,243506
5825,216740
6428,165443
7031,169860
7634,150309
8236,136605
8839,119021
9442,103843
10045,106488
10648,80420.5
11250,72128.3
11853,64079.6
12456,47281.5
13059,42085.2
13661,44832.6
14264,39356.1
14867,35956.1
15470,32362.4
16073,27990.2
16675,21026.1
17278,18728.5
17881,18819.9
18484,16918.1
19086,14968.4
19689,13547.6
20292,12067.2
20895,10696.4
21498,9542.39
22100,8359.73
22703,6904
23306,6873.59
23909,6071.45
24512,5097.65
25114,4093.62
25717,3753.03
26320,2992.22
26923,2468.03
27525,2341.42
28128,2045.99
28731,1739.35
29334,1500.55
29937,1351.54
30539,464.362
31142,557.707
31745,503.625
32348,234.897
32950,199.19
33553,116.492
34156,229.413
34759,170.37
35362,156.997
35964,51.6142
36567,125.198
