construct,lnkadd_20C,lnkadd_20C_err,slope,intercept,slope_err,intercept_err,lnkadd_25C,lnkadd_25C_err,group
4U_,-11.884529057925398,1.3461972130427393,8.733951438193486,17.90892630006023,2.4549930361933003,7.250739866236226,-11.384890363342375,1.1782480904224353,A
4U_,-10.917403236098398,1.069045675445299,7.243139874808106,13.79056154237033,1.9643214695115603,5.807700045266286,-10.503048636425937,0.934572839439751,C
hiv_,-11.217515888383197,0.02649420681081191,6.590573484517664,11.264399460474607,0.026748990734545522,0.07685548784538251,-10.840492320567368,0.023687939182968493,A
hiv_,-13.20848108300368,1.0542036692730514,11.404845573457752,25.69598957521824,1.0543482309504948,3.02350333061341,-12.55604991315256,0.9435022148888982,C
nmr_,-7.1258791640733605,0.19809851416485624,7.856410474059312,19.674088340819402,0.8153009333908997,2.6263324316164276,-6.676441506771788,0.15205076476185356,A
nmr_,-7.602186670956101,0.4174772070629807,10.844725507937197,29.39158957989568,1.6496796660150415,5.2749082773957126,-6.98179800332484,0.3207245386372136,C
4U_wt,-9.66225487288497,0.2934533180169915,3.9573369651286576,3.837103698251506,0.5399005856582745,1.597997615896857,-9.435869520358784,0.25670469180798205,A
4U_wt,-8.989912975975022,0.22597158308231238,3.062131624645107,1.4557006165377098,0.4488830677903926,1.3427741760708258,-8.814739177676971,0.19529205588008758,C
4U_a8c,-10.391153906976054,1.8290598937336078,6.368822054749989,11.334317881357531,2.607575691805756,7.51424478625485,-10.026815959829758,1.6324409147940366,A
4U_a8c,-9.928202021668707,1.9473893854582633,5.863243955201486,10.07263016390689,2.789815037475324,8.046616555202773,-9.592786422380168,1.7370353264704266,C
hiv_a35g,-11.235663742888274,0.3050077980634805,6.457544444971589,10.79245989678967,0.30702814549979296,0.8817276636127883,-10.866250299325003,0.2728084426461325,A
hiv_a35g,-14.203152975752957,0.3467455462235952,13.120049554562184,30.55226082115029,0.34519653523156757,0.9890840135617358,-13.45260100867425,0.3105102705561912,C
hiv_wt,-12.490222821748198,0.6598886935407057,9.058048763061109,18.408800760244336,0.685545969623942,1.9800761239912619,-11.972043657200274,0.5879624063919259,A
hiv_wt,-13.79198175921314,0.4165755872402256,12.699748190974278,29.529690391475174,0.43226937135752785,1.2481406070054817,-13.065473757356887,0.37119814070382007,C
hiv_gs,-11.218751326302696,1.5448984523567963,6.551458984491626,11.12973574342825,1.5581691646747755,4.475595134810302,-10.843965361692083,1.3813373061137206,A
hiv_gs,-13.48288962389858,0.6959433662446429,11.888778964039663,27.072385709683765,0.7031892507205324,2.020125750515346,-12.802774323989432,0.622063840517697,C
hiv_es2,-10.17714031977659,1.3721240880116465,4.785291476605921,6.146555660458518,1.3939464506369166,4.010259399331105,-9.903390596814404,1.225979608277159,A
hiv_es2,-10.549285981413606,1.7881596868353427,6.622524558957925,12.041621605002648,1.7836992177128632,5.114156707738752,-10.170434604817663,1.6011847305515503,C
