time,peak
1003,0.512094005
1606,0.509541359
2209,0.509962486
2811,0.506201441
3414,0.505471781
4620,0.50344988
6428,0.491556663
7031,0.488776619
7634,0.485984351
8236,0.484824841
8839,0.484096006
9442,0.483590609
10045,0.482667886
10648,0.482647933
11250,0.48234012
11853,0.480817791
12456,0.480966338
13059,0.480222766
13661,0.478994446
14264,0.480022338
14867,0.478937053
15470,0.478762344
16073,0.477660534
16675,0.477199387
17278,0.479560785
17881,0.477791685
18484,0.478300119
19086,0.47863781
19689,0.4773456
20292,0.477555091
20895,0.476673377
21498,0.47724609
22100,0.47674857
22703,0.47726736
23306,0.477086991
23909,0.477337843
24512,0.476927052
25114,0.476734926
25717,0.476361621
26320,0.47622535
26923,0.478018979
27525,0.476475847
28128,0.476687152
28731,0.476906905
29334,0.477066118
29937,0.475596324
30539,0.477792806
31142,0.476271394
31745,0.476351999
32348,0.47566169
32950,0.476904074
33553,0.477302715
34156,0.476501278
34759,0.477682672
35362,0.47528999
35964,0.475855138
36567,0.47606795
