time,peak
465,78346.2
617,67944.8
769,58550.2
921,51923.8
1073,45856.6
1224,40276.8
1376,35834.7
1528,32208.2
1680,28064.1
1832,24901.6
1984,22376.1
2135,20516.9
2287,18097.6
2439,16265.3
2591,14129.3
2743,12591.4
2894,11187.2
3046,10025.9
3198,8563.06
3350,7652.69
3502,6779.39
3654,6029.94
3806,5278.48
3957,4541.89
4109,4014.83
4261,3644.58
4413,3031.27
4565,2900.95
4717,2330.9
4868,2095.14
5020,1873.74
5172,1489.63
5324,1642.18
5476,1281.41
5628,1079.03
5779,1110.03
