time,peak
483,7995.1
635,7947.45
787,7884.99
939,7824.04
1090,7816.44
1242,7788.58
1394,7773.87
1546,7729.35
1698,7729.23
1850,7696.66
2002,7710.01
2153,7682
2305,7644.18
2457,7620.99
2609,7634.22
2761,7595.89
2913,7590.32
3065,7667.61
3216,7697.36
3368,7701.07
3520,7691.02
3672,7685.84
3824,7661.9
3976,7670.58
4127,7667.41
4279,7687.81
4431,7643.43
4583,7662.8
4735,7659.78
4887,7678.48
5039,7658.18
5190,7666.64
5342,7669
5494,7660.78
5646,7668.96
5798,7657.14
