time,peak
1112,9.51E+08
1716,8.28E+08
2322,7.13E+08
2925,2.46E+08
3530,2.16E+08
4133,1.88E+08
4737,1.64E+08
5341,3.60E+08
5945,1.21E+08
6549,1.10E+08
7153,9.60E+07
7757,8.41E+07
8361,7.40E+07
8966,6.48E+07
9570,5.68E+07
10175,5.02E+07
10778,4.44E+07
11384,3.88E+07
11988,3.47E+07
12592,3.05E+07
13196,27563600
13800,24727100
14404,21873500
15008,19473800
15612,17588200
16216,15965300
16820,14118000
17425,13291500
18029,12251500
18633,10673600
19237,10464000
19841,9345500
20445,8756940
21050,8364640
21654,8070010
22258,7404280
22863,7054100
23467,6650710
24071,6392290
24676,6177530
25280,7039800
25885,5624770
26489,5619200
27093,5388190
27697,5297020
28301,5320420
28905,5152360
29509,5078340
30113,5545540
30717,4930910
31321,5077820
31926,5055440
32529,5358520
33134,5264500
33738,4979340
34343,4558020
34947,4614120
35552,4362640
36156,4619740
36760,4752300
