ntp,temp,rep,peak,k1,k1_err,k2,k2_err,rsq,chisq
ATP,20,1,peak8,0.0008680792500306464,4.564957071417143e-05,0.00018361117068531134,2.184351178600168e-06,0.9938094870524231,2.2726284214511577e-07
ATP,20,1,peak8_raw,0.003054759516309561,6.012755486713181e-05,0.0001690322774878902,1.997530091938955e-06,0.9905698292506191,2.1877857960616273e-07
ATP,20,1,peak6,0.0001495361365156609,3.811279385161545e-05,0.00018480670756644836,1.9845097154957163e-06,0.9955395179193097,1.7933061046371236e-07
ATP,37,2,peak8,0.003045455170194563,1.938337338071293e-05,0.0007915698438114796,1.1191442773980881e-06,0.999923107457951,2.9319566018024576e-09
ATP,37,1,peak6_raw,0.005339274801771155,6.315587002144375e-05,0.000798744233304637,2.3655609071785935e-06,0.9996464306344638,1.2312599153021518e-08
ATP,37,1,peak6,0.0038766951053769193,4.25966305221512e-05,0.0008086620536966667,1.6654587308389685e-06,0.9998403709880543,5.996634137032559e-09
ATP,37,1,peak8,0.003919578110066136,3.593420520086574e-05,0.000808277165797548,1.4031168430321228e-06,0.999886414889942,4.259869773652949e-09
ATP,37,2,peak6,0.003860107254692017,1.9698306856163394e-05,0.0007860473829973764,1.1010861431593203e-06,0.9999212538340458,2.8718835635323933e-09
ATP,42,1,peak6,0.005709791048343272,4.3681447442161634e-05,0.0013424031279713523,1.7317850954406277e-06,0.9999551785966662,1.6748670810791579e-09
ATP,42,2,peak8,0.005243341237055664,6.128009043103744e-05,0.0013191069782467312,2.2056697817356306e-06,0.9999228616987318,3.0113811911081707e-09
ATP,42,2,peak6,0.006559133942412463,5.7039714496902026e-05,0.0013094382087908542,2.008959707019242e-06,0.9999325488922048,2.5243410794420727e-09
ATP,42,1,peak8,0.004489986530036387,4.957244749060041e-05,0.0013513265663461465,2.00654517992241e-06,0.9999427967394817,2.226579382171059e-09
ATP,48,1,peak6,0.006796743042080151,5.8388404898038726e-05,0.0024737597333619786,2.606563340561065e-06,0.9999798015025433,8.366425575469183e-10
ATP,48,1,peak8,0.010649212154155308,0.00013879390764337182,0.0024437448196595745,5.9615513738714295e-06,0.9998847302706318,4.465722770835681e-09
ATP,48,2,peak6,0.0028706581065865234,0.00018586914093038573,0.0025426522060099112,9.393203926712439e-06,0.9997942578169161,9.049593643864254e-09
ATP,48,1,peak6_raw,0.012425423355448236,0.00010035117783323649,0.0024317314359520717,4.233753473375435e-06,0.9999394189923485,2.268505593307523e-09
ATP,48,2,peak6_raw,0.015837836019518544,0.00013029437302321625,0.002445699767496094,5.757520213449622e-06,0.9998953857357095,3.6250323626074673e-09
CTP,25,1,peak8,0.001119816292392182,2.2221897118493435e-05,0.00020747989440256953,1.0362999002663806e-06,0.9989170859501862,3.551301129076782e-08
CTP,25,1,peak8_raw,0.0014836520259469928,2.4194403546432462e-05,0.00020520010998596475,1.0723464513035767e-06,0.9987371718022331,3.8745244968079665e-08
CTP,25,1,peak6,0.0012783683441009031,2.3797492228750363e-05,0.000205451731949728,1.183770874223251e-06,0.9988158831202345,3.8008524466643e-08
CTP,37,2,peak8,0.002911340968120702,9.44292841120271e-05,0.0008372133194286242,3.527649457961168e-06,0.9992712335416994,2.4869152013162152e-08
CTP,37,1,peak6,0.003087523601390532,5.116664644234488e-05,0.000792363022253364,1.8385570923240643e-06,0.9997669434563478,7.888353249536364e-09
CTP,37,1,peak8,0.003293579540169428,4.910527300145528e-05,0.0007909541234363747,1.7544198686081254e-06,0.9997850460612022,7.202153076171089e-09
CTP,37,2,peak6,0.002792142130900973,9.270724936487867e-05,0.0008380096325360771,3.474175665790092e-06,0.9992982919293658,2.4086841064350663e-08
CTP,42,2,peak6_raw,0.04710191485977551,0.0002973593054847502,0.0014714747209986566,6.5637054091579115e-06,0.9988296755715212,1.4627275290783945e-08
CTP,42,2,peak8,0.005556484383303885,8.91918050283456e-05,0.0017148592737372017,3.7320923138464406e-06,0.9998907899023749,3.711684615463936e-09
CTP,42,2,peak8_raw,0.042094625295744564,0.000456876008571954,0.0015056999142336871,1.0925232641874906e-05,0.9971817213184486,3.8772177108486966e-08
CTP,42,1,peak8_raw,0.022109469963228566,0.0005224984667007901,0.0016488048342678456,1.6879848813752178e-05,0.996588013150045,8.201103813439759e-08
CTP,42,2,peak6,0.007506705232275425,0.0001487103376666842,0.0017037500048350262,6.131685139610058e-06,0.999742168701682,8.691961498902825e-09
CTP,42,1,peak8,0.0077046563513790325,0.00024905679821007144,0.0017496094248759312,9.996723153906112e-06,0.9992217035012382,2.5976602706472413e-08
CTP,48,2,peak8,0.020674735263113992,0.0006490826999651755,0.002766138146633387,2.3565981463048937e-05,0.9986162900479431,4.192136425858968e-08
CTP,48,2,peak8_raw,0.03956333713275255,0.0010797394040239227,0.0026378759745079405,3.282291758300855e-05,0.9961135508278063,8.831443641323676e-08
CTP,48,1,peak6,0.0076381883380142665,7.393758714732134e-05,0.0024806006142927433,3.202747237941351e-06,0.9999664003578037,1.147357777662094e-09
CTP,48,1,peak8,0.00936723301110839,4.817276701327637e-05,0.002468653025814868,2.0518839878487023e-06,0.9999856496318003,4.746564691381281e-10
