time,peak
436,0.980610535
588,0.975831615
740,0.97464209
892,0.970038002
1043,0.966091434
1195,0.961504165
1347,0.958715439
1499,0.957038361
1651,0.957648951
1803,0.954243155
1955,0.949845676
2106,0.951003467
2258,0.949605032
2410,0.950934498
2562,0.948806859
2714,0.967697374
2866,0.946990078
3017,0.941473949
3169,0.942943267
3321,0.94201934
3473,0.945223046
3625,0.943400724
3777,0.939540194
3929,0.942407515
4080,0.938510925
4232,0.939707769
4384,0.940565973
4536,0.938522687
4688,0.938697241
4840,0.936166353
4992,0.940857253
5143,0.937465067
5295,0.93898187
5447,0.94153759
5599,0.936260866
5751,0.938945777
