ARR_DATA(I),"Integral(3.916,3.888)",fit_1,"Integral(3.622,3.587)",fit_2,"Integral(2.917,2.891)",fit_3
882,120306,110647,27141.4,35724.1,1916.98,739.643
1185,106547,104907,39080.6,39146.6,2325.62,1654
1488,93614.9,99464.2,36771,42442.7,2577.77,2503.05
1790,86528.2,94320.8,58659.2,45606.7,2941.49,3288.95
2093,82130.1,89427.6,43356.6,48664.1,3465.05,4021.23
2396,82308.4,84788.3,55281.2,51608.4,4402.05,4701.22
2699,78804.7,80389.6,60055.9,54444,4959.97,5332.64
3001,77711.4,76232.6,62154.7,57166,5703.29,5917.11
3304,74451.2,72277.8,60961.5,59796.3,6284.69,6461.69
3607,69782.7,68528.2,64474.2,62329.3,6672.07,6967.38
3910,66625.4,64973,66057.1,64768.8,7124.17,7436.96
4213,63877.7,61602.4,65402.5,67118.1,7528.13,7873
4515,56174.2,58416.8,71668.3,69373.3,7840.85,8276.61
4818,57182,55386.3,73298.5,71552.5,8385.94,8652.68
5121,53536.6,52513,75182.6,73651.1,8671.04,9001.9
5424,51182.7,49788.7,74322.7,75672.3,8920.75,9326.17
5727,47695.6,47205.7,75560.4,77618.7,9261.28,9627.29
6029,45370.3,44764.7,75337.1,79487.2,9627.2,9906.01
6332,42950.6,42442.4,81730.8,81292.6,9919.17,10165.7
6635,44121.6,40240.5,82354,83031.4,10427.5,10406.9
6938,42103.6,38152.9,78829.6,84705.9,10779.6,10630.8
7241,38953,36173.6,86902.5,86318.6,10982.6,10838.7
7543,34381.2,34303.1,88158.5,87866.6,11040.8,11031.2
7846,32414.9,32523.5,91319.3,89362.5,11282,11210.6
8149,30753,30836.2,85075.3,90803.1,11669.7,11377.1
8452,29236.4,29236.5,72644.5,92190.4,11818.4,11531.7
8754,27600.4,27724.6,96921.2,93522.2,11952.1,11674.9
9057,28667.6,26286.3,97266.2,94809.1,12192.1,11808.3
9360,26982.8,24922.7,94002.7,96048.4,12303.2,11932.1
9663,25557.6,23629.7,98350.1,97242,12384.9,12047.1
9966,21610.3,22403.9,101080,98391.4,12647.4,12153.9
10268,23480.1,21245.3,90537.3,99494.8,12720.8,12252.7
10571,19132.2,20143.2,103230,100561,12527.6,12344.8
10874,18151.4,19098.2,101559,101588,12664.4,12430.4
11177,16979.7,18107.4,104317,102577,12826.5,12509.8
11480,18035.2,17168,109316,103529,13079.5,12583.5
11782,15327.3,16280.2,97801.2,104443,13183.9,12651.8
12085,14460.4,15435.7,106036,105326,13225,12715.4
12388,15723.3,14634.9,109421,106177,13306.6,12774.5
12691,12899,13875.7,109207,106997,13203.3,12829.3
12994,13846.4,13155.8,114940,107786,13371.6,12880.2
13296,11393.9,12475.5,108878,108543,13155.7,12927.4
13599,10523.1,11828.3,109967,109275,13158.3,12971.3
13902,9883.32,11214.7,110929,109980,13390.8,13012.1
14205,9024.21,10632.9,110534,110658,13383.7,13050
14508,8956.26,10081.3,110499,111312,13132.9,13085.1
14810,8108.87,9559.95,110894,111940,13116.7,13117.7
15113,7707.36,9064,110644,112546,13067.7,13148
15416,8803.63,8593.78,118102,113130,13243.4,13176.2
15719,6835.62,8147.95,118015,113692,13222.1,13202.3
16022,6442.31,7725.25,111856,114234,13009.3,13226.6
16324,5819.21,7325.77,112656,114754,12921.1,13249.1
16627,5587.2,6945.72,113150,115256,13096.6,13270
16930,5212.59,6585.39,113063,115740,13271.5,13289.5
17233,4955.1,6243.75,115687,116206,13733.6,13307.6
17536,4825.61,5919.84,132218,116655,13674.9,13324.3
17838,4487.34,5613.72,116057,117085,13503.1,13339.8
18141,4311.69,5322.49,124775,117502,13908.7,13354.3
18444,3857.79,5046.37,116164,117903,13465.8,13367.7
18747,3793.2,4784.57,116282,118289,13441.6,13380.2
19049,3356.92,4537.16,116650,118659,13702.3,13391.8
19352,3249.22,4301.78,115903,119017,13486.5,13402.5
19655,3106.66,4078.61,116402,119362,13274.3,13412.5
19958,2897.42,3867.02,116933,119694,13303,13421.8
20261,2805.22,3666.41,129971,120014,13358.2,13430.4
20563,2453.68,3476.81,116502,120321,13120,13438.4
20866,2947.28,3296.44,128443,120618,13257.2,13445.8
21169,2707.9,3125.43,126250,120903,13335.8,13452.7
21472,2115.83,2963.29,115682,121179,13046.3,13459.1
21775,1986.64,2809.56,115142,121444,12971.9,13465
22077,1991.03,2664.27,126490,121698,13467,13470.6
22380,2127.55,2526.05,127217,121944,13087.7,13475.7
22683,2055.99,2395.01,125166,122180,13101.7,13480.4
22986,2117.52,2270.76,129498,122408,13054,13484.9
23288,1323.38,2153.34,115892,122627,12750.2,13489
23591,1301.75,2041.62,115999,122839,12783.4,13492.8
23894,1061.8,1935.71,115993,123042,12723.5,13496.3
24197,225.908,1835.29,115855,123238,12640.3,13499.6
