# This is a submission template for batch deposit of 'Microbe; version 1.0' samples to the NCBI BioSample database (https://www.ncbi.nlm.nih.gov/biosample/).
# See SAMN02911891 for an example record of this type of BioSample (https://www.ncbi.nlm.nih.gov/biosample/SAMN02911891).
# Fields with an asterisk (*) are mandatory. Your submission will fail if any mandatory fields are not completed. If information is unavailable for any mandatory field, please enter 'not collected', 'not applicable' or 'missing' as appropriate.
# All other fields are optional. Leave optional fields empty if no information is available.
# You can add any number of custom fields to fully describe your BioSamples, simply include them in the table.
# CAUTION: Be aware that Excel may automatically apply formatting to your data. In particular, take care with dates, incrementing autofills and special characters like / or -. Doublecheck that your text file is accurate before uploading to BioSample.
# TO MAKE A SUBMISSION:
#     1. Complete the template table (typically in Excel, or another spreadsheet application)
#     2. Save the worksheet as a Text (Tab-delimited) file - use 'File, Save as, Save as type: Text (Tab-delimited)'
#     3. Upload the file on the 'Attributes' tab of the BioSample Submission Portal at https://submit.ncbi.nlm.nih.gov/subs/biosample/.
#     4. If you have any questions, please contact us at biosamplehelp@ncbi.nlm.nih.gov.
*sample_name	sample_title	bioproject_accession	*organism	strain	isolate	host	isolation_source	*collection_date	*geo_loc_name	*sample_type	altitude	biomaterial_provider	collected_by	culture_collection	description	env_broad_scale	env_local_scale	env_medium	lat_lon	project_name	sample_id	probe	probe_conc_M	replicate	reaction_group	reaction_id	construct_family	temperature
RRRY_013-EKC-fourUnew-WT-80C-dms-MaP-1			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC								258	dms	0.015852692	1	80_1	258	Salm_4U_thermometer	80.0
RRRY_014-EKC-fourUnew-WT-80C-dms-MaP-2			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC								260	dms	0.015852692	1	80_1	260	Salm_4U_thermometer	80.0
RRRY_015-EKC-fourUnew-WT-80C-dms-MaP-3			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC								262	dms	0.015852692	1	80_1	262	Salm_4U_thermometer	80.0
RRRY_016-EKC-fourUnew-WT-80C-dms-MaP-4			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC								264	dms	0.015852692	1	80_1	264	Salm_4U_thermometer	80.0
RRRY_017-EKC-fourUnew-WT-80C-dms-MaP-5			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC								266	dms	0.015852692	1	80_1	266	Salm_4U_thermometer	80.0
RRRY_018-EKC-fourUnew-WT-80C-dms-MaP-6			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC								268	dms	0.015852692	1	80_1	268	Salm_4U_thermometer	80.0
YYYR_013-EKC-fourUnew-WT-80C-dms-MaP-1			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC								259	etoh	0.0	1	80_1	259	Salm_4U_thermometer	80.0
YYYR_014-EKC-fourUnew-WT-80C-dms-MaP-2			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC								261	etoh	0.0	1	80_1	261	Salm_4U_thermometer	80.0
YYYR_015-EKC-fourUnew-WT-80C-dms-MaP-3			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC								263	etoh	0.0	1	80_1	263	Salm_4U_thermometer	80.0
YYYR_016-EKC-fourUnew-WT-80C-dms-MaP-4			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC								265	etoh	0.0	1	80_1	265	Salm_4U_thermometer	80.0
YYYR_017-EKC-fourUnew-WT-80C-dms-MaP-5			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC								267	etoh	0.0	1	80_1	267	Salm_4U_thermometer	80.0
YYYR_018-EKC-fourUnew-WT-80C-dms-MaP-6			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC								269	etoh	0.0	1	80_1	269	Salm_4U_thermometer	80.0
