# This is a submission template for batch deposit of 'Microbe; version 1.0' samples to the NCBI BioSample database (https://www.ncbi.nlm.nih.gov/biosample/).
# See SAMN02911891 for an example record of this type of BioSample (https://www.ncbi.nlm.nih.gov/biosample/SAMN02911891).
# Fields with an asterisk (*) are mandatory. Your submission will fail if any mandatory fields are not completed. If information is unavailable for any mandatory field, please enter 'not collected', 'not applicable' or 'missing' as appropriate.
# All other fields are optional. Leave optional fields empty if no information is available.
# You can add any number of custom fields to fully describe your BioSamples, simply include them in the table.
# CAUTION: Be aware that Excel may automatically apply formatting to your data. In particular, take care with dates, incrementing autofills and special characters like / or -. Doublecheck that your text file is accurate before uploading to BioSample.
# TO MAKE A SUBMISSION:
#     1. Complete the template table (typically in Excel, or another spreadsheet application)
#     2. Save the worksheet as a Text (Tab-delimited) file - use 'File, Save as, Save as type: Text (Tab-delimited)'
#     3. Upload the file on the 'Attributes' tab of the BioSample Submission Portal at https://submit.ncbi.nlm.nih.gov/subs/biosample/.
#     4. If you have any questions, please contact us at biosamplehelp@ncbi.nlm.nih.gov.
*sample_name	sample_title	bioproject_accession	*organism	strain	isolate	host	isolation_source	*collection_date	*geo_loc_name	*sample_type	altitude	biomaterial_provider	collected_by	culture_collection	description	env_broad_scale	env_local_scale	env_medium	geo_loc_name	lat_lon	project_name	sample_id	probe	probe_conc_M	replicate	reaction_group	reaction_id	construct_family	temperature
RRRY_001-EKC-fourUnew-WT-70C-dms-MaP-1			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									234	dms	0.015852692	1	70_1	234	Salm_4U_thermometer	70.0
RRRY_002-EKC-fourUnew-WT-70C-dms-MaP-2			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									236	dms	0.015852692	1	70_1	236	Salm_4U_thermometer	70.0
RRRY_003-EKC-fourUnew-WT-70C-dms-MaP-3			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									238	dms	0.015852692	1	70_1	238	Salm_4U_thermometer	70.0
RRRY_004-EKC-fourUnew-WT-70C-dms-MaP-4			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									240	dms	0.015852692	1	70_1	240	Salm_4U_thermometer	70.0
RRRY_005-EKC-fourUnew-WT-70C-dms-MaP-5			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									242	dms	0.015852692	1	70_1	242	Salm_4U_thermometer	70.0
RRRY_006-EKC-fourUnew-WT-70C-dms-MaP-6			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									244	dms	0.015852692	1	70_1	244	Salm_4U_thermometer	70.0
YYYR_001-EKC-fourUnew-WT-70C-dms-MaP-1			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									235	etoh	0.0	1	70_1	235	Salm_4U_thermometer	70.0
YYYR_002-EKC-fourUnew-WT-70C-dms-MaP-2			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									237	etoh	0.0	1	70_1	237	Salm_4U_thermometer	70.0
YYYR_003-EKC-fourUnew-WT-70C-dms-MaP-3			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									239	etoh	0.0	1	70_1	239	Salm_4U_thermometer	70.0
YYYR_004-EKC-fourUnew-WT-70C-dms-MaP-4			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									241	etoh	0.0	1	70_1	241	Salm_4U_thermometer	70.0
YYYR_005-EKC-fourUnew-WT-70C-dms-MaP-5			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									243	etoh	0.0	1	70_1	243	Salm_4U_thermometer	70.0
YYYR_006-EKC-fourUnew-WT-70C-dms-MaP-6			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									245	etoh	0.0	1	70_1	245	Salm_4U_thermometer	70.0
