# This is a submission template for batch deposit of 'Microbe; version 1.0' samples to the NCBI BioSample database (https://www.ncbi.nlm.nih.gov/biosample/).
# See SAMN02911891 for an example record of this type of BioSample (https://www.ncbi.nlm.nih.gov/biosample/SAMN02911891).
# Fields with an asterisk (*) are mandatory. Your submission will fail if any mandatory fields are not completed. If information is unavailable for any mandatory field, please enter 'not collected', 'not applicable' or 'missing' as appropriate.
# All other fields are optional. Leave optional fields empty if no information is available.
# You can add any number of custom fields to fully describe your BioSamples, simply include them in the table.
# CAUTION: Be aware that Excel may automatically apply formatting to your data. In particular, take care with dates, incrementing autofills and special characters like / or -. Doublecheck that your text file is accurate before uploading to BioSample.
# TO MAKE A SUBMISSION:
#     1. Complete the template table (typically in Excel, or another spreadsheet application)
#     2. Save the worksheet as a Text (Tab-delimited) file - use 'File, Save as, Save as type: Text (Tab-delimited)'
#     3. Upload the file on the 'Attributes' tab of the BioSample Submission Portal at https://submit.ncbi.nlm.nih.gov/subs/biosample/.
#     4. If you have any questions, please contact us at biosamplehelp@ncbi.nlm.nih.gov.
*sample_name	sample_title	bioproject_accession	*organism	strain	isolate	host	isolation_source	*collection_date	*geo_loc_name	*sample_type	altitude	biomaterial_provider	collected_by	culture_collection	description	env_broad_scale	env_local_scale	env_medium	lat_lon	project_name	sample_id	probe	probe_conc_M	replicate	reaction_group	reaction_id	construct_family	temperature
003-EKC-fourUnew-A8C-45C-dms-stop-30			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-01-17	not applicable	in vitro transcription			EKC								137	dms	0.015852692	1	45_1_A8C	137	Salm_4U_thermometer	45.0
019-EKC-fourUnew-A8C-45C-dms-stop-1			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-28	not applicable	in vitro transcription			EKC								99	dms	0.015852692	1	45_1_A8C	99	Salm_4U_thermometer	45.0
020-EKC-fourUnew-A8C-45C-dms-stop-3			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-28	not applicable	in vitro transcription			EKC								100	dms	0.015852692	1	45_1_A8C	100	Salm_4U_thermometer	45.0
021-EKC-fourUnew-A8C-45C-dms-stop-6			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-28	not applicable	in vitro transcription			EKC								101	dms	0.015852692	1	45_1_A8C	101	Salm_4U_thermometer	45.0
022-EKC-fourUnew-A8C-45C-dms-stop-10			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-28	not applicable	in vitro transcription			EKC								102	dms	0.015852692	1	45_1_A8C	102	Salm_4U_thermometer	45.0
023-EKC-fourUnew-A8C-45C-dms-stop-16			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-28	not applicable	in vitro transcription			EKC								103	dms	0.015852692	1	45_1_A8C	103	Salm_4U_thermometer	45.0
024-EKC-fourUnew-A8C-45C-dms-stop-25			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-28	not applicable	in vitro transcription			EKC								104	dms	0.015852692	1	45_1_A8C	104	Salm_4U_thermometer	45.0
RRRY-019-EKC-fourUnew-A8C-45C-dms-MaP-1			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								198	dms	0.015852692	1	45_1_A8C	198	Salm_4U_thermometer	45.0
RRRY-020-EKC-fourUnew-A8C-45C-dms-MaP-3			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								200	dms	0.015852692	1	45_1_A8C	200	Salm_4U_thermometer	45.0
RRRY-021-EKC-fourUnew-A8C-45C-dms-MaP-6			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								202	dms	0.015852692	1	45_1_A8C	202	Salm_4U_thermometer	45.0
RRRY-022-EKC-fourUnew-A8C-45C-dms-MaP-10			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								204	dms	0.015852692	1	45_1_A8C	204	Salm_4U_thermometer	45.0
RRRY-023-EKC-fourUnew-A8C-45C-dms-MaP-16			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								206	dms	0.015852692	1	45_1_A8C	206	Salm_4U_thermometer	45.0
RRRY-024-EKC-fourUnew-A8C-45C-dms-MaP-25			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								208	dms	0.015852692	1	45_1_A8C	208	Salm_4U_thermometer	45.0
YYYR-019-EKC-fourUnew-A8C-45C-dms-MaP-1			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								199	etoh	0.0	1	45_1_A8C	199	Salm_4U_thermometer	45.0
YYYR-020-EKC-fourUnew-A8C-45C-dms-MaP-3			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								201	etoh	0.0	1	45_1_A8C	201	Salm_4U_thermometer	45.0
YYYR-021-EKC-fourUnew-A8C-45C-dms-MaP-6			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								203	etoh	0.0	1	45_1_A8C	203	Salm_4U_thermometer	45.0
YYYR-022-EKC-fourUnew-A8C-45C-dms-MaP-10			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								205	etoh	0.0	1	45_1_A8C	205	Salm_4U_thermometer	45.0
YYYR-023-EKC-fourUnew-A8C-45C-dms-MaP-16			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								207	etoh	0.0	1	45_1_A8C	207	Salm_4U_thermometer	45.0
YYYR-024-EKC-fourUnew-A8C-45C-dms-MaP-25			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								209	etoh	0.0	1	45_1_A8C	209	Salm_4U_thermometer	45.0
