# This is a submission template for batch deposit of 'Microbe; version 1.0' samples to the NCBI BioSample database (https://www.ncbi.nlm.nih.gov/biosample/).
# See SAMN02911891 for an example record of this type of BioSample (https://www.ncbi.nlm.nih.gov/biosample/SAMN02911891).
# Fields with an asterisk (*) are mandatory. Your submission will fail if any mandatory fields are not completed. If information is unavailable for any mandatory field, please enter 'not collected', 'not applicable' or 'missing' as appropriate.
# All other fields are optional. Leave optional fields empty if no information is available.
# You can add any number of custom fields to fully describe your BioSamples, simply include them in the table.
# CAUTION: Be aware that Excel may automatically apply formatting to your data. In particular, take care with dates, incrementing autofills and special characters like / or -. Doublecheck that your text file is accurate before uploading to BioSample.
# TO MAKE A SUBMISSION:
#     1. Complete the template table (typically in Excel, or another spreadsheet application)
#     2. Save the worksheet as a Text (Tab-delimited) file - use 'File, Save as, Save as type: Text (Tab-delimited)'
#     3. Upload the file on the 'Attributes' tab of the BioSample Submission Portal at https://submit.ncbi.nlm.nih.gov/subs/biosample/.
#     4. If you have any questions, please contact us at biosamplehelp@ncbi.nlm.nih.gov.
*sample_name	sample_title	bioproject_accession	*organism	strain	isolate	host	isolation_source	*collection_date	*geo_loc_name	*sample_type	altitude	biomaterial_provider	collected_by	culture_collection	description	env_broad_scale	env_local_scale	env_medium	geo_loc_name	lat_lon	project_name	sample_id	probe	probe_conc_M	replicate	reaction_group	reaction_id	construct_family	temperature
RRRY_007-EKC-fourUnew-WT-75C-dms-MaP-1			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									246	dms	0.015852692	1	75_1	246	Salm_4U_thermometer	75.0
RRRY_008-EKC-fourUnew-WT-75C-dms-MaP-2			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									248	dms	0.015852692	1	75_1	248	Salm_4U_thermometer	75.0
RRRY_009-EKC-fourUnew-WT-75C-dms-MaP-3			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									250	dms	0.015852692	1	75_1	250	Salm_4U_thermometer	75.0
RRRY_010-EKC-fourUnew-WT-75C-dms-MaP-4			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									252	dms	0.015852692	1	75_1	252	Salm_4U_thermometer	75.0
RRRY_011-EKC-fourUnew-WT-75C-dms-MaP-5			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									254	dms	0.015852692	1	75_1	254	Salm_4U_thermometer	75.0
RRRY_012-EKC-fourUnew-WT-75C-dms-MaP-6			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									256	dms	0.015852692	1	75_1	256	Salm_4U_thermometer	75.0
YYYR_007-EKC-fourUnew-WT-75C-dms-MaP-1			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									247	etoh	0.0	1	75_1	247	Salm_4U_thermometer	75.0
YYYR_008-EKC-fourUnew-WT-75C-dms-MaP-2			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									249	etoh	0.0	1	75_1	249	Salm_4U_thermometer	75.0
YYYR_009-EKC-fourUnew-WT-75C-dms-MaP-3			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									251	etoh	0.0	1	75_1	251	Salm_4U_thermometer	75.0
YYYR_010-EKC-fourUnew-WT-75C-dms-MaP-4			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									253	etoh	0.0	1	75_1	253	Salm_4U_thermometer	75.0
YYYR_011-EKC-fourUnew-WT-75C-dms-MaP-5			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									255	etoh	0.0	1	75_1	255	Salm_4U_thermometer	75.0
YYYR_012-EKC-fourUnew-WT-75C-dms-MaP-6			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-04-20	not applicable	in vitro transcription			EKC									257	etoh	0.0	1	75_1	257	Salm_4U_thermometer	75.0
