# This is a submission template for batch deposit of 'Microbe; version 1.0' samples to the NCBI BioSample database (https://www.ncbi.nlm.nih.gov/biosample/).
# See SAMN02911891 for an example record of this type of BioSample (https://www.ncbi.nlm.nih.gov/biosample/SAMN02911891).
# Fields with an asterisk (*) are mandatory. Your submission will fail if any mandatory fields are not completed. If information is unavailable for any mandatory field, please enter 'not collected', 'not applicable' or 'missing' as appropriate.
# All other fields are optional. Leave optional fields empty if no information is available.
# You can add any number of custom fields to fully describe your BioSamples, simply include them in the table.
# CAUTION: Be aware that Excel may automatically apply formatting to your data. In particular, take care with dates, incrementing autofills and special characters like / or -. Doublecheck that your text file is accurate before uploading to BioSample.
# TO MAKE A SUBMISSION:
#     1. Complete the template table (typically in Excel, or another spreadsheet application)
#     2. Save the worksheet as a Text (Tab-delimited) file - use 'File, Save as, Save as type: Text (Tab-delimited)'
#     3. Upload the file on the 'Attributes' tab of the BioSample Submission Portal at https://submit.ncbi.nlm.nih.gov/subs/biosample/.
#     4. If you have any questions, please contact us at biosamplehelp@ncbi.nlm.nih.gov.
*sample_name	sample_title	bioproject_accession	*organism	strain	isolate	host	isolation_source	*collection_date	*geo_loc_name	*sample_type	altitude	biomaterial_provider	collected_by	culture_collection	description	env_broad_scale	env_local_scale	env_medium	geo_loc_name	lat_lon	project_name	sample_id	probe	probe_conc_M	replicate	reaction_group	reaction_id	construct_family	temperature
RRRY-013-EKC-fourUnew-WT-45C-dms-MaP-3			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC									186	dms	0.015852692	1	45_2	186	Salm_4U_thermometer	45.0
RRRY-014-EKC-fourUnew-WT-45C-dms-MaP-6			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC									188	dms	0.015852692	1	45_2	188	Salm_4U_thermometer	45.0
RRRY-015-EKC-fourUnew-WT-45C-dms-MaP-10			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC									190	dms	0.015852692	1	45_2	190	Salm_4U_thermometer	45.0
RRRY-016-EKC-fourUnew-WT-45C-dms-MaP-25			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC									192	dms	0.015852692	1	45_2	192	Salm_4U_thermometer	45.0
RRRY-017-EKC-fourUnew-WT-45C-dms-MaP-30			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC									194	dms	0.015852692	1	45_2	194	Salm_4U_thermometer	45.0
RRRY-018-EKC-fourUnew-WT-45C-dms-MaP-45			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC									196	dms	0.015852692	1	45_2	196	Salm_4U_thermometer	45.0
YYYR-013-EKC-fourUnew-WT-45C-dms-MaP-3			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC									187	etoh	0.0	1	45_2	187	Salm_4U_thermometer	45.0
YYYR-014-EKC-fourUnew-WT-45C-dms-MaP-6			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC									189	etoh	0.0	1	45_2	189	Salm_4U_thermometer	45.0
YYYR-015-EKC-fourUnew-WT-45C-dms-MaP-10			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC									191	etoh	0.0	1	45_2	191	Salm_4U_thermometer	45.0
YYYR-016-EKC-fourUnew-WT-45C-dms-MaP-25			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC									193	etoh	0.0	1	45_2	193	Salm_4U_thermometer	45.0
YYYR-017-EKC-fourUnew-WT-45C-dms-MaP-30			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC									195	etoh	0.0	1	45_2	195	Salm_4U_thermometer	45.0
YYYR-018-EKC-fourUnew-WT-45C-dms-MaP-45			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC									197	etoh	0.0	1	45_2	197	Salm_4U_thermometer	45.0
