# This is a submission template for batch deposit of 'Microbe; version 1.0' samples to the NCBI BioSample database (https://www.ncbi.nlm.nih.gov/biosample/).
# See SAMN02911891 for an example record of this type of BioSample (https://www.ncbi.nlm.nih.gov/biosample/SAMN02911891).
# Fields with an asterisk (*) are mandatory. Your submission will fail if any mandatory fields are not completed. If information is unavailable for any mandatory field, please enter 'not collected', 'not applicable' or 'missing' as appropriate.
# All other fields are optional. Leave optional fields empty if no information is available.
# You can add any number of custom fields to fully describe your BioSamples, simply include them in the table.
# CAUTION: Be aware that Excel may automatically apply formatting to your data. In particular, take care with dates, incrementing autofills and special characters like / or -. Doublecheck that your text file is accurate before uploading to BioSample.
# TO MAKE A SUBMISSION:
#     1. Complete the template table (typically in Excel, or another spreadsheet application)
#     2. Save the worksheet as a Text (Tab-delimited) file - use 'File, Save as, Save as type: Text (Tab-delimited)'
#     3. Upload the file on the 'Attributes' tab of the BioSample Submission Portal at https://submit.ncbi.nlm.nih.gov/subs/biosample/.
#     4. If you have any questions, please contact us at biosamplehelp@ncbi.nlm.nih.gov.
*sample_name	sample_title	bioproject_accession	*organism	strain	isolate	host	isolation_source	*collection_date	*geo_loc_name	*sample_type	altitude	biomaterial_provider	collected_by	culture_collection	description	env_broad_scale	env_local_scale	env_medium	geo_loc_name	lat_lon	project_name	sample_id	probe	probe_conc_M	replicate	reaction_group	reaction_id	construct_family	temperature
DMS-05-WTII			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-12-06	not applicable	in vitro transcription			RB									105	dms	0.015852692	2	37_2	105	Salm_4U_thermometer	37.0
DMS-1-WTII			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-12-06	not applicable	in vitro transcription			RB									106	dms	0.015852692	2	37_2	106	Salm_4U_thermometer	37.0
DMS-120-WTII			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-12-06	not applicable	in vitro transcription			RB									107	dms	0.015852692	2	37_2	107	Salm_4U_thermometer	37.0
DMS-150-WTII			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-12-06	not applicable	in vitro transcription			RB									108	dms	0.015852692	2	37_2	108	Salm_4U_thermometer	37.0
DMS-20-WTII			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-12-06	not applicable	in vitro transcription			RB									109	dms	0.015852692	2	37_2	109	Salm_4U_thermometer	37.0
DMS-40-WTII			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-12-06	not applicable	in vitro transcription			RB									110	dms	0.015852692	2	37_2	110	Salm_4U_thermometer	37.0
DMS-60-WTII			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-12-06	not applicable	in vitro transcription			RB									111	dms	0.015852692	2	37_2	111	Salm_4U_thermometer	37.0
DMS-90-WTII			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-12-06	not applicable	in vitro transcription			RB									112	dms	0.015852692	2	37_2	112	Salm_4U_thermometer	37.0
RRRY-017-EKC-fourUnew-WT-II-37C-dms-MaP-0-30			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-23	not applicable	in vitro transcription			EKC									25	dms	0.015852692	2	37_2	25	Salm_4U_thermometer	37.0
RRRY-018-EKC-fourUnew-WT-II-37C-dms-MaP-1			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-23	not applicable	in vitro transcription			EKC									27	dms	0.015852692	2	37_2	27	Salm_4U_thermometer	37.0
RRRY-019-EKC-fourUnew-WT-II-37C-dms-MaP-20			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-23	not applicable	in vitro transcription			EKC									29	dms	0.015852692	2	37_2	29	Salm_4U_thermometer	37.0
RRRY-020-EKC-fourUnew-WT-II-37C-dms-MaP-40			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-23	not applicable	in vitro transcription			EKC									31	dms	0.015852692	2	37_2	31	Salm_4U_thermometer	37.0
RRRY-021-EKC-fourUnew-WT-II-37C-dms-MaP-60			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-23	not applicable	in vitro transcription			EKC									33	dms	0.015852692	2	37_2	33	Salm_4U_thermometer	37.0
RRRY-022-EKC-fourUnew-WT-II-37C-dms-MaP-90			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-23	not applicable	in vitro transcription			EKC									35	dms	0.015852692	2	37_2	35	Salm_4U_thermometer	37.0
RRRY-023-EKC-fourUnew-WT-II-37C-dms-MaP-120			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-23	not applicable	in vitro transcription			EKC									37	dms	0.015852692	2	37_2	37	Salm_4U_thermometer	37.0
RRRY-024-EKC-fourUnew-WT-II-37C-dms-MaP-150			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-23	not applicable	in vitro transcription			EKC									39	dms	0.015852692	2	37_2	39	Salm_4U_thermometer	37.0
YYYR-017-EKC-fourUnew-WT-II-37C-dms-MaP-0-30			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-23	not applicable	in vitro transcription			EKC									26	etoh	0.0	2	37_2	26	Salm_4U_thermometer	37.0
YYYR-018-EKC-fourUnew-WT-II-37C-dms-MaP-1			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-23	not applicable	in vitro transcription			EKC									28	etoh	0.0	2	37_2	28	Salm_4U_thermometer	37.0
YYYR-019-EKC-fourUnew-WT-II-37C-dms-MaP-20			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-23	not applicable	in vitro transcription			EKC									30	etoh	0.0	2	37_2	30	Salm_4U_thermometer	37.0
YYYR-020-EKC-fourUnew-WT-II-37C-dms-MaP-40			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-23	not applicable	in vitro transcription			EKC									32	etoh	0.0	2	37_2	32	Salm_4U_thermometer	37.0
YYYR-021-EKC-fourUnew-WT-II-37C-dms-MaP-60			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-23	not applicable	in vitro transcription			EKC									34	etoh	0.0	2	37_2	34	Salm_4U_thermometer	37.0
YYYR-022-EKC-fourUnew-WT-II-37C-dms-MaP-90			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-23	not applicable	in vitro transcription			EKC									36	etoh	0.0	2	37_2	36	Salm_4U_thermometer	37.0
YYYR-023-EKC-fourUnew-WT-II-37C-dms-MaP-120			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-23	not applicable	in vitro transcription			EKC									38	etoh	0.0	2	37_2	38	Salm_4U_thermometer	37.0
YYYR-024-EKC-fourUnew-WT-II-37C-dms-MaP-150			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-11-23	not applicable	in vitro transcription			EKC									40	etoh	0.0	2	37_2	40	Salm_4U_thermometer	37.0
etOH-05-WTII			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-12-06	not applicable	in vitro transcription			RB									113	etoh	0.0	2	37_2	113	Salm_4U_thermometer	37.0
etOH-1-WTII			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-12-06	not applicable	in vitro transcription			RB									114	etoh	0.0	2	37_2	114	Salm_4U_thermometer	37.0
etOH-120-WTII			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-12-06	not applicable	in vitro transcription			RB									115	etoh	0.0	2	37_2	115	Salm_4U_thermometer	37.0
etOH-150-WTII			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-12-06	not applicable	in vitro transcription			RB									116	etoh	0.0	2	37_2	116	Salm_4U_thermometer	37.0
etOH-20-WTII			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-12-06	not applicable	in vitro transcription			RB									117	etoh	0.0	2	37_2	117	Salm_4U_thermometer	37.0
etOH-40-WTII			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-12-06	not applicable	in vitro transcription			RB									118	etoh	0.0	2	37_2	118	Salm_4U_thermometer	37.0
etOH-60-WTII			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-12-06	not applicable	in vitro transcription			RB									119	etoh	0.0	2	37_2	119	Salm_4U_thermometer	37.0
etOH-90-WTII			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2022-12-06	not applicable	in vitro transcription			RB									120	etoh	0.0	2	37_2	120	Salm_4U_thermometer	37.0
