temperature,ln_kobs_mean,ln_kobs_err,n,construct
10.0,-12.733167446115282,0.12194521072143293,2,4U_wt
15.0,-11.85854940104919,0.027623256034806313,2,4U_wt
18.0,-11.80062470786197,0.04187726540284204,2,4U_wt
20.0,-11.442947759789963,0.0335770185964085,2,4U_wt
25.0,-11.220245416566563,0.030268398267293575,2,4U_wt
30.0,-10.635756215751579,0.027669922500556554,4,4U_wt
33.0,-10.393611319303169,0.024571953113455808,2,4U_wt
37.0,-9.779282072712478,0.022154325149546555,4,4U_wt
45.0,-9.126816268420598,0.014605573467555739,2,4U_wt
52.0,-8.490012760852212,0.017723320401694696,2,4U_wt
60.0,-8.034642014718038,0.015420690701325035,2,4U_wt
65.0,-8.079153847370762,0.022115458250125224,2,4U_wt
70.0,-7.8019577221004095,0.023140107564649078,1,4U_wt
75.0,-7.812330382926475,0.028569716106561498,2,4U_wt
80.0,-7.305412887484269,0.07309125886758436,2,4U_wt
15.0,-11.52317208379893,0.09093501565837095,2,4U_a8c
20.0,-11.100632673999831,0.06991511809374877,2,4U_a8c
25.0,-10.571049740310807,0.04203345356279769,4,4U_a8c
30.0,-9.8319981790263,0.028283669512638707,4,4U_a8c
37.0,-9.590001513862275,0.015757713558893174,1,4U_a8c
40.0,-9.5426286675218,0.025817887229721927,2,4U_a8c
42.0,-9.513809740574946,0.033681058338111,2,4U_a8c
45.0,-9.177910088692876,0.020761500786999284,3,4U_a8c
48.0,-9.151901918867452,0.027049485415098603,2,4U_a8c
52.0,-8.460045249979949,0.021938875784917853,2,4U_a8c
60.0,-8.091052545380496,0.011052056913970928,1,4U_a8c
70.0,-7.177864536153022,0.037049829338723965,2,4U_a8c
75.0,-7.175377627273067,0.019191119395926926,2,4U_a8c
80.0,-6.642740370291599,0.024284604523471403,2,4U_a8c
