time,peak
978,412210
1581,357042
2183,316332
2786,281792
3389,250137
3992,223041
4595,203248
5197,184321
5800,167469
6403,152467
7006,140305
7608,129007
8211,118159
8814,109434
9417,100625
10019,92788.5
10622,86631.7
11225,80217.3
11828,74342.4
12431,68155.8
13033,63219.6
13636,59695.1
14239,54281
14842,50892.6
15444,46848.3
16047,44240
16650,40982.2
17253,37815.1
17856,35277.4
18458,32566.1
19061,30471.2
19664,28220.4
20267,26171.2
20869,24194.4
21472,22955.5
22075,21759.6
22678,20421
23281,19342.7
23883,17137.7
24486,15846.5
25089,15116.2
25692,14321.4
26295,13161.4
26897,12286.8
27500,11475.2
28103,11065.9
28706,10150.5
29308,9151.2
29911,3767.21
30514,3620.87
31117,3703.46
31720,2920.46
32322,2852.29
32925,2930.88
33528,2581.83
34131,2350.15
34733,1939.62
35336,1768.16
35939,1619.75
36542,1467.81
9543,6.76041
9695,3.70104
9847,6.77405
9999,2.45749
10151,4.55473
10302,5.76887
10454,9.25298
10606,-2.89126
10758,1.09615
10910,-7.59719
11062,6.62006
11213,-0.925725
